id,text,label,source
elife_1444,Ngn1 inhibits astrogliogenesis through induction of miR-9 during neuronal fate specification,1,elife
ag_37801,India and Pakistan to meet at UN Kashmir will be the focus of the first talks between India's Manmohan Singh and Pakistan's Pervez Musharraf.,0,ag_news
ag_118550,"A's Trade Pitcher Tim Hudson to Braves (AP) AP - Tim Hudson was traded from the Oakland Athletics to Atlanta, a blockbuster deal Thursday that further bolstered the Braves' revamped rotation.",0,ag_news
elife_498,Real-time in vivo imaging of extracellular ATP in the brain with a hybrid-type fluorescent sensor,1,elife
elife_1479,Pathogenic PS1 phosphorylation at Ser367,1,elife
elife_344,"A mutation uncouples the tubulin conformational and GTPase cycles, revealing allosteric control of microtubule dynamics",1,elife
elife_1120,Promiscuous interactions and protein disaggregases determine the material state of stress-inducible RNP granules,1,elife
ag_74253,"Oil prices to cool off EU growth BRUSSELS The European Union #39;s executive arm issued a bleak economic report on Tuesday, warning that the sharp rise in oil prices would  quot;take its toll quot; on economic growth next year while the euro #39;s renewed climb could threaten exports.",0,ag_news
elife_700,α8β1 integrin regulates nutrient absorption through an Mfge8-PTEN dependent mechanism,1,elife
elife_1853,"LINKIN, a new transmembrane protein necessary for cell adhesion",1,elife
elife_1020,Regulatory consequences of neuronal ELAV-like protein binding to coding and non-coding RNAs in human brain,1,elife
elife_1273,Oxytocin functions as a spatiotemporal filter for excitatory synaptic inputs to VTA dopamine neurons,1,elife
ag_24096,"U.S. Judge Rejects Law to Block Child Porn on Web (Reuters) Reuters - A Pennsylvania law allowing the\state to force Internet service providers to block access to\child pornography sites is unconstitutional, a federal judge\ruled on Friday.",0,ag_news
ag_54676,Treasuries Up as Weak Jobs Ease Rates  NEW YORK (Reuters) - U.S. Treasury debt rallied on Friday  as a weak employment report revived talk the Federal Reserve  might slow the pace of interest rate increases.,0,ag_news
ag_88842,"Local Muslims reflect on Palestine and peace It signals the possibility of peace in the Middle East, they said, with the appointment of a new leader to replace the 75-year-old head of the PLO.",0,ag_news
ag_20434,"Patriot League capsules DUXBURY Coach: Don Dellorco (22d year, 143-72-9). Last year's record: 9-1-2. Returning starters (6): Peter Bizinkauskas, TE, 6-1, 190, Sr.; Tim Confer, TB/CB, 6-0, 180, Sr.; Shaun Croscup, C, 6-0, 225, Sr.; Matt Johnston, NG, 5-10, 180, Sr.; Ryan Mullin, FB/LB, 5-8, 170, Jr.; Chris Nixon, TB, 5-10, 170, Jr. Returning lettermen (11): Steve Ahern, S, Sr.; Tim Griswold, OT/DT, ...",0,ag_news
elife_1485,A feedback amplification loop between stem cells and their progeny promotes tissue regeneration and tumorigenesis,1,elife
elife_356,Multiplexed imaging of immune cells in staged multiple sclerosis lesions by mass cytometry,1,elife
ag_89602,"Blast in Pakistani town, several soldiers wounded A blast destroyed a Pakistani military vehicle in the western town of Wana near the Afghan border on Saturday and several soldiers were wounded, witnesses and a military official said.",0,ag_news
ag_29849,Smithsonian Unveils Ocean Science Program WASHINGTON - A new ocean science program dedicated to studying and explaining the world #39;s oceans is the latest offering from the Smithsonian Institution (news - web sites) #39;s National Museum of Natural History.,0,ag_news
elife_1678,Reconstructing the in vivo dynamics of hematopoietic stem cells from telomere length distributions,1,elife
elife_862,Distinct regulatory ribosomal ubiquitylation events are reversible and hierarchically organized,1,elife
ag_75627,"Microsoft #39;s Ballmer tells customers to stick with Windows Steve Ballmer, Microsoft #39;s CEO has emailed management and IT professionals in a fierce defence of Windows against Linux and Unix in the Enterprise.",0,ag_news
elife_1495,The ubiquitin-proteasome system regulates focal adhesions at the leading edge of migrating cells,1,elife
elife_621,Matrix metalloproteinase 14 is required for fibrous tissue expansion,1,elife
ag_112904,"Crawford Financial Resources Inc Small wine producers seek Supreme Court #39;s help in allowing them to make direct shipments to wine-lovers in other states. VIRGINIA WINE makes a great holiday gift, but if the state #39;s wineries send it to your",0,ag_news
ag_50325,Megawati Urges Acceptance of Indonesian Election Results Outgoing Indonesian President Megawati Sukarnoputri has asked her countrymen to accept the results of last month #39;s presidential election.,0,ag_news
elife_1828,Mapping mutational effects along the evolutionary landscape of HIV envelope,1,elife
elife_1690,"Insight into the evolution of microbial metabolism from the deep-branching bacterium, Thermovibrio ammonificans",1,elife
elife_55,Novel RNA and DNA strand exchange activity of the PALB2 DNA binding domain and its critical role for DNA repair in cells,1,elife
ag_105062,"FIFA Player of Year finalists announced Zurich, Switzerland (Sports Network) - Arsenal #39;s Thierry Henry, AC Milan #39;s Andriy Shevchenko, and Barcelona #39;s Ronaldinho are the three finalists for FIFA #39;s 2004 World Player of the Year award.",0,ag_news
ag_74866,Compuware looks to cut risks in apps deployment Compuware this week is upgrading its Vantage application service management software to highlight predictive analysis and performance assessment.,0,ag_news
elife_1837,Disruption of thalamic functional connectivity is a neural correlate of dexmedetomidine-induced unconsciousness,1,elife
elife_675,Neurophysiological evidence of efference copies to inner speech,1,elife
ag_110321,"Panel: Astronauts Should Rescue Hubble This image taken by NASA #39;s Hubble Space telescope, and released Thursday Aug. 12, 2004, shows nebula N44F, which, at left, is being inflated by a stellar wind, creating an interstellar bubble.",0,ag_news
ag_68467,"This week's schedule TODAY'S GAMES Division 1 BIG THREE -- Brockton at Durfee, 7. GREATER BOSTON -- Arlington at Everett, 7; Cambridge at Peabody, 7; Somerville at Revere, 7.",0,ag_news
elife_301,Influenza-virus membrane fusion by cooperative fold-back of stochastically induced hemagglutinin intermediates,1,elife
ag_17930,"U.S. government, companies warn of critical Oracle flaws US-CERT has issued an alert citing several security flaws in Oracle products that could be used to shut down or take control of vulnerable systems or to corrupt or steal data from Oracle databases.",0,ag_news
elife_1218,Cyclin-dependent kinase 5 (CDK5) regulates the circadian clock,1,elife
elife_1109,The Apelin receptor enhances Nodal/TGFβ signaling to ensure proper cardiac development,1,elife
elife_1562,A projectome of the bumblebee central complex,1,elife
elife_358,The molecular architecture of engulfment during Bacillus subtilis sporulation,1,elife
ag_123255,"US, Iraqi Forces in New Push to Retake Rebel Zone US and Iraqi forces pushed on with their second major offensive in a week Wednesday, hunting insurgents in a triangle southwest of Baghdad that has become one of Iraq #39;s most notorious hot spots.",0,ag_news
elife_719,Somatostatin binds to the human amyloid β peptide and favors the formation of distinct oligomers,1,elife
ag_3701,"Lindows Postpones IPO Its legal battles over, the software vendor will focus on sales until the market ripens.",0,ag_news
elife_2016,A diversity of localized timescales in network activity,1,elife
elife_1838,Acetylation of histone H3 at lysine 64 regulates nucleosome dynamics and facilitates transcription,1,elife
20ng_5051,"Without doing anything really tricky, the best I've seen is the
Burr-Brown INA103. Their databook shows a good application of this
chip as a phantom power mic pre.

--",0,20newsgroups
elife_1026,Tumor microenvironment derived exosomes pleiotropically modulate cancer cell metabolism,1,elife
ag_32354,"Iran says ban on its uranium enrichment program  quot;illegal quot; TEHRAN, Iran Iranian officials say it #39;s  quot;illegal quot; for the United Nations nuclear watchdog agency to make them freeze all of their uranium enrichment work.",0,ag_news
elife_1469,A stochastic neuronal model predicts random search behaviors at multiple spatial scales in C. elegans,1,elife
20ng_15770,"I must say that I have been a customer of Midwest Micro for over 4
years now, and have been well taken care of on each purchase.
I have had many friends that have bought that same modem and (THEY)
do have some experience with setting up modems, so there have been
no problems in 6 of them that I know of. The fact that your time
to valuable for you to spend on the modem is where you went wrong.
WHY you say because I must tell you of the 12 yes I say 12 PPI modems
that I have had in the past that I was trying to use on my bbs. They
all were junk and were replace 3 times each, to ther point that
I just said forget it and I wanted my money back. PPI's teck even
said that they didn't even repair them. That they just strip the
parts that are good and junk thr rest of the modem.
I think it was more your fault than Midwest Mirco's faulkt...Sam",0,20newsgroups
ag_1202,"Athletics Win to Hang on to AL West Lead (AP) AP - Mark Redman pitched eight innings of six-hit ball, and the Oakland Athletics used a three-run fifth inning to beat the Baltimore Orioles 3-1 on Monday night.",0,ag_news
elife_29,The transcription factor Pitx2 positions the embryonic axis and regulates twinning,1,elife
20ng_6385,"I have the following complete camera kits for sale:

Minolta with three lenses.
Ricoh with zoom lens.
Nikon 35 mm autofocus. $50.
Nikkor 50/1.8 MINT. $60.",0,20newsgroups
ag_94241,"Brazil Upset in Ecuador; China Eliminated Ecuador upset Brazil 1-0 Wednesday to send the World Cup champions to their first loss in qualifying for the 2006 tournament, and China was eliminated on the fifth tiebreaker despite a 7-0 victory over visiting Hong Kong.",0,ag_news
elife_54,Disruption of glycolytic flux is a signal for inflammasome signaling and pyroptotic cell death,1,elife
elife_1820,A hierarchy of timescales explains distinct effects of local inhibition of primary visual cortex and frontal eye fields,1,elife
ag_39590,"AskJeeves #39;s Butler Trying To Do It Better The search engine (www.ask.com) made its fame toward the end of the last millennium by encouraging Web surfers to enter  quot;natural language quot; questions, rather than search terms -- instead of",0,ag_news
elife_1421,Stereotyped responses of Drosophila peptidergic neuronal ensemble depend on downstream neuromodulators,1,elife
